"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"8/23/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.75)"
"8/22/2022","PANERA BREAD K","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($12.59)"
"8/22/2022","ZELLE PAYMENT FROM SARAN PADMAKAR","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$690.03"
"8/20/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"8/20/2022","ZELLE PAYMENT FROM SIVABALAN MANI","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$67.07"
"8/20/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"8/20/2022","ZELLE PAYMENT FROM ARAVIND KUNIAMUTHUR KALIAPPAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$170.5"
"8/20/2022","ZELLE PAYMENT FROM JAYANTH JAYARAMAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$170.5"
"8/20/2022","ZELLE PAYMENT FROM DEEPA SUBRAMANIAN","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$100"
"8/20/2022","REG MACARTHUR","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($15.16)"
"8/20/2022","TROPICAL SMOOTHIE CAFE","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($7.01)"
"8/19/2022","GUM.CO CC SYLVIA MOES","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($10)"
"8/19/2022","GUM.CO CC SYLVIA MOES","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($24)"
"8/19/2022","CMA CGM AMERICA PAYROLL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Paycheck/Salary","No","No","$2124.11"
"8/18/2022","ROYAL BAZAAR NORFOLK VA","Discover Credit Card - via Direct Web Access","DISCOVER","Groceries","No","No","($30.49)"
"8/17/2022","SPRINT WIRELESS KS","Discover Credit Card - via Direct Web Access","DISCOVER","Phone, Internet & Cable","No","No","($138.27)"
"8/16/2022","TG VIRGINIA BEACH","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($39.55)"
"8/16/2022","WAWA","Chase - via Direct Web API","CHASE FREEDOM","Gas & Fuel","No","No","($30.81)"
"8/16/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.75)"
"8/16/2022","JPMORGAN CHASE EXT TRNSFR FUTURE AMOUNT TRAN ACHSD","Goldman Sachs - Marcus - via Direct Web Access","GOLDMAN SACHS","Transfers","No","No","$400"
"8/16/2022","INTEREST PAYMENT","Chase - via Direct Web API","CHASE SAVINGS","Interest Income","No","No","$0.01"
"8/14/2022","TROPICAL SMOOTHIE CAFE","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($7.24)"
"8/13/2022","SQ CITY OF NORFOLK","Chase - via Direct Web API","CHASE FREEDOM","Bills & Utilities","No","No","($3)"
"8/13/2022","REG MACARTHUR NORFOLK VA","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($11.32)"
"8/12/2022","CRUMBL","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($10.86)"
"8/12/2022","ONLINE TRANSFER TO SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","($400)"
"8/12/2022","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($600)"
"8/11/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.04)"
"8/11/2022","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$600"
"8/10/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($3.83)"
"8/10/2022","CHICKFILA","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($10.35)"
"8/9/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.1)"
"8/9/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"8/9/2022","YOUTUBE GURGAON","Charles Schwab US","CHARLES SCHWAB CHECKING","Rideshare","No","No","($1.63)"
"8/8/2022","WAWA VIRGINIA BEACVA","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($30.19)"
"8/7/2022","CHIPOTLE","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($9.31)"
"8/7/2022","TROPICAL SMOOTHIE CAFE","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($6.46)"
"8/6/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"8/6/2022","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"8/6/2022","7-ELEVEN 38165","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($3.37)"
"8/5/2022","CMA CGM AMERICA PAYROLL PPD ID","Chase - via Direct Web API","CHASE CHECKING","Paycheck/Salary","No","No","$2124.1"
"8/5/2022","PAYPAL TRANSFER PPD ID","Chase - via Direct Web API","CHASE CHECKING","Online Payment","No","No","$107.75"
"8/4/2022","CAVA PEMBROKE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($13.24)"
"8/4/2022","CARDINAL CANTEEN VEND","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($1.5)"
"8/4/2022","ONLINE TRANSFER TO CHK","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","($100)"
"8/4/2022","ONLINE TRANSFER FROM SAV","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","$100"
"8/3/2022","AUTOMATIC STATEMENT CREDIT","Discover Credit Card - via Direct Web Access","DISCOVER","Income","No","No","$5.52"
"8/3/2022","ODP TRANSFER TO CHECKING","Chase - via Direct Web API","CHASE SAVINGS","Transfers","No","No","($39.99)"
"8/3/2022","ODP TRANSFER FROM SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","$39.99"
"8/3/2022","US EFT PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($39.99)"
