,Transaction Date,Description,Institution,Account,Category,Is Hidden,Is Pending,Amount,Standardized Description,Master Category
2131,2023-08-14,SPIRIT AIRLINES DIRECT SALES,American Express - Amex Account - via Direct Web Access,AMEX,AIR TRAVEL,No,No,-627.56,SPIRIT AIRLINES DIRECT SALES,ENTERTAINMENT
2132,2023-08-14,SPIRIT AIRLINES DIRECT SALES,American Express - Amex Account - via Direct Web Access,AMEX,AIR TRAVEL,No,No,-507.56,SPIRIT AIRLINES DIRECT SALES,ENTERTAINMENT
2133,2023-08-13,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2134,2023-08-13,PATEL BROTHERS OF PLANO PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,GROCERIES,No,No,-4.78,PATEL BROTHERS OF PLANO PLANO TX,SHOPPING/GROCERIES
2135,2023-08-13,FOREIGN FEE,Chase - via Direct Web API,CHASE FREEDOM,BANK FEE,No,No,-0.08,FOREIGN FEE,MISCELLANEOUS
2136,2023-08-12,TARGET FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-41.62,TARGET,SHOPPING/GROCERIES
2137,2023-08-12,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2138,2023-08-12,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2139,2023-08-12,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2140,2023-08-11,SL.NORD VPNCOM,Chase - via Direct Web API,CHASE FREEDOM,INCOME,No,No,14.03,SL.NORD VPNCOM,INCOME
2141,2023-08-11,SL.NORD VPNCOM,Chase - via Direct Web API,CHASE FREEDOM,FAST FOOD & CONVENIENCE,No,No,-14.03,SL.NORD VPNCOM,FOOD AND DINING
2142,2023-08-11,GOOGLE YOUTUBEPREMIUM,Chase - via Direct Web API,CHASE FREEDOM,SUBSCRIPTIONS,No,No,-2.71,GOOGLE YOUTUBEPREMIUM,SUBSCRIPTIONS
2143,2023-08-11,TEMU.COM,Chase - via Direct Web API,CHASE FREEDOM,SHOPPING,No,No,-7.12,TEMU.COM,SHOPPING/GROCERIES
2144,2023-08-11,SPICY VILLAGE CARROLLTON TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-16.22,SPICY VILLAGE CARROLLTON TX,FOOD AND DINING
2145,2023-08-11,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2146,2023-08-11,ROBINHOOD DEBITS WEB ID,Chase - via Direct Web API,CHASE CHECKING,INVESTMENT SAVINGS,No,No,-300.0,ROBINHOOD DEBITS WEB ID,MISCELLANEOUS
2147,2023-08-11,CNK CINEMARK.COM,Chase - via Direct Web API,CHASE FREEDOM,ENTERTAINMENT,No,No,-15.53,CNK CINEMARK.COM,ENTERTAINMENT
2148,2023-08-10,DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN,Robinhood,ROBINHOOD,INVESTMENT TRANSFERS,No,No,300.0,DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN,MISCELLANEOUS
2149,2023-08-10,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2150,2023-08-10,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2151,2023-08-09,EXXON,Chase - via Direct Web API,CHASE FREEDOM,GAS & FUEL,No,No,-45.39,EXXON,BILLS AND UTILITIES
2152,2023-08-09,TEMU.COM,Chase - via Direct Web API,CHASE FREEDOM,SHOPPING,No,No,-12.3,TEMU.COM,SHOPPING/GROCERIES
2153,2023-08-09,TARGET FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-24.68,TARGET,SHOPPING/GROCERIES
2154,2023-08-09,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2155,2023-08-09,USPS PO PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,SHIPPING & HANDLING,No,No,-9.48,USPS PO PLANO TX,MISCELLANEOUS
2156,2023-08-09,REMITLY WWW.REMITLY.C WA,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-2967.01,REMITLY WWW.REMITLY.C WA,MISCELLANEOUS
2157,2023-08-09,REMITLY WWW.REMITLY.C WA,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-103.99,REMITLY WWW.REMITLY.C WA,MISCELLANEOUS
2158,2023-08-08,NAYAX COPY SERVICES,Chase - via Direct Web API,CHASE FREEDOM,MEDICAL,No,No,-3.0,NAYAX COPY SERVICES,BILLS AND UTILITIES
2159,2023-08-08,NAYAX COPY SERVICES,Chase - via Direct Web API,CHASE FREEDOM,MEDICAL,No,No,-0.45,NAYAX COPY SERVICES,BILLS AND UTILITIES
2160,2023-08-08,NAYAX COPY SERVICES HUNT VALLEY MD,Discover Credit Card - via Direct Web Access,DISCOVER,FAST FOOD & CONVENIENCE,No,No,-3.0,NAYAX COPY SERVICES HUNT VALLEY MD,FOOD AND DINING
2161,2023-08-08,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2162,2023-08-08,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2163,2023-08-08,AUTOSAVE SAVINGS,Chase - via Direct Web API,CHASE SAVINGS,SAVINGS,No,No,400.0,AUTOSAVE SAVINGS,MISCELLANEOUS
2164,2023-08-08,AUTOSAVE SAVINGS,Chase - via Direct Web API,CHASE CHECKING,SAVINGS,No,No,-400.0,AUTOSAVE SAVINGS,MISCELLANEOUS
2165,2023-08-07,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2166,2023-08-07,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2167,2023-08-06,MADURAI THATTU KADAI PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-19.47,MADURAI THATTU KADAI PLANO TX,FOOD AND DINING
2168,2023-08-06,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2169,2023-08-06,TST VELVET TACO GRAND THE COLONY TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-10.72,TST VELVET TACO GRAND THE COLONY TX,FOOD AND DINING
2170,2023-08-06,ATT UVERSE PAYMENT TX,American Express - Amex Account - via Direct Web Access,AMEX,"PHONE, INTERNET & CABLE",No,No,-55.58,ATT UVERSE PAYMENT TX,BILLS AND UTILITIES
2171,2023-08-05,REMITLY INC REMITTANCE PPD ID,Chase - via Direct Web API,CHASE CHECKING,INCOME,No,No,3060.35,REMITLY INC REMITTANCE PPD ID,INCOME
2172,2023-08-05,CRUNCH FIT CLUB FEES PPD ID,Chase - via Direct Web API,CHASE CHECKING,GYM,No,No,-18.48,CRUNCH FIT CLUB FEES PPD ID,HEALTH
2173,2023-08-05,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2174,2023-08-05,TARGET FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,SHOPPING,No,No,-32.69,TARGET,SHOPPING/GROCERIES
2175,2023-08-05,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2176,2023-08-05,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2177,2023-08-04,REMITLY WWW.REMITLY.C WA,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-2970.42,REMITLY WWW.REMITLY.C WA,MISCELLANEOUS
2178,2023-08-04,REMITLY WWW.REMITLY.C WA,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-103.99,REMITLY WWW.REMITLY.C WA,MISCELLANEOUS
2179,2023-08-04,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2180,2023-08-04,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2181,2023-08-04,THE HALAL GUYS PLANO FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-10.81,THE HALAL GUYS PLANO FRISCO TX,FOOD AND DINING
2182,2023-08-04,ONLINE TRANSFER TO CHK,Chase - via Direct Web API,CHASE SAVINGS,TRANSFERS,No,No,-3500.0,ONLINE TRANSFER TO CHK,MISCELLANEOUS
2183,2023-08-04,ONLINE TRANSFER FROM SAV,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,3500.0,ONLINE TRANSFER FROM SAV,MISCELLANEOUS
2184,2023-08-03,PATEL BROTHERS FRISCO TX,Discover Credit Card - via Direct Web Access,DISCOVER,GROCERIES,No,No,-24.4,PATEL BROTHERS FRISCO TX,SHOPPING/GROCERIES
2185,2023-08-03,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2186,2023-08-03,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2187,2023-08-03,STARBUCKS STORE PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.87,STARBUCKS,FOOD AND DINING
2188,2023-08-03,AUTOMATIC STATEMENT CREDIT,Discover Credit Card - via Direct Web Access,DISCOVER,INCOME,No,No,4.79,AUTOMATIC STATEMENT CREDIT,INCOME
2189,2023-08-02,JPMORGAN CHASE EXT TRNSFR,Goldman Sachs - Marcus - via Direct Web Access,GOLDMAN SACHS,TRANSFERS,No,No,-4000.0,JPMORGAN CHASE EXT TRNSFR,MISCELLANEOUS
2190,2023-08-02,BELL WEB PMTS QWNJD WEB ID,Chase - via Direct Web API,CHASE CHECKING,RENT,No,No,-1401.79,BELL WEB PMTS QWNJD WEB ID,BILLS AND UTILITIES
2191,2023-08-01,GOOGLE,Chase - via Direct Web API,CHASE FREEDOM,ELECTRONICS & SOFTWARE,No,No,-54.5,GOOGLE,SHOPPING/GROCERIES
2192,2023-08-01,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2193,2023-08-01,AUTOSAVE SAVINGS,Chase - via Direct Web API,CHASE SAVINGS,SAVINGS,No,No,400.0,AUTOSAVE SAVINGS,MISCELLANEOUS
2194,2023-08-01,ONLINE TRANSFER TO CHK,Chase - via Direct Web API,CHASE SAVINGS,TRANSFERS,No,No,-4000.0,ONLINE TRANSFER TO CHK,MISCELLANEOUS
2195,2023-08-01,AUTOSAVE SAVINGS,Chase - via Direct Web API,CHASE CHECKING,SAVINGS,No,No,-400.0,AUTOSAVE SAVINGS,MISCELLANEOUS
2196,2023-08-01,ONLINE TRANSFER FROM SAV,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,4000.0,ONLINE TRANSFER FROM SAV,MISCELLANEOUS
2197,2023-08-01,SCHWAB BROKERAGE MONEYLINK WEB ID,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-350.0,SCHWAB BROKERAGE MONEYLINK WEB ID,MISCELLANEOUS
2198,2023-08-01,REMITLY INC REMITTANCE WEB ID,Chase - via Direct Web API,CHASE CHECKING,TRANSFERS,No,No,-3060.35,REMITLY INC REMITTANCE WEB ID,MISCELLANEOUS
2199,2023-07-31,DUNKIN PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,COFFEE,No,No,-2.69,DUNKIN,FOOD AND DINING
2200,2023-07-31,INTEREST PAID,Goldman Sachs - Marcus - via Direct Web Access,GOLDMAN SACHS,INTEREST INCOME,No,No,80.41,INTEREST PAID,INCOME
2201,2023-07-31,INTEREST PAID,Charles Schwab US,CHARLES SCHWAB CHECKING,INTEREST INCOME,No,No,0.02,INTEREST PAID,INCOME
2202,2023-07-31,CHASE CREDIT CRD AUTOPAY PPD ID,Chase - via Direct Web API,CHASE CHECKING,CREDIT CARD PAYMENT,No,No,-3847.12,CHASE CREDIT CRD AUTOPAY PPD ID,MISCELLANEOUS
2203,2023-07-31,DISCOVER EPAYMENT WEB ID,Chase - via Direct Web API,CHASE CHECKING,CREDIT CARD PAYMENT,No,No,-333.0,DISCOVER EPAYMENT WEB ID,MISCELLANEOUS
2204,2023-07-31,PAYPAL INST XFER TUBEBUDDY TUBEB WEB ID,Chase - via Direct Web API,CHASE CHECKING,ONLINE PAYMENT,No,No,-23.95,PAYPAL INST XFER TUBEBUDDY TUBEB WEB ID,MISCELLANEOUS
2205,2023-07-30,ZELLE PAYMENT TO VISHNU BA,Chase - via Direct Web API,CHASE CHECKING,PAYMENT,No,No,-16.0,ZELLE PAYMENT TO VISHNU BA,MISCELLANEOUS
2206,2023-07-30,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2207,2023-07-30,NTTA AUTOCHARGE TX,Discover Credit Card - via Direct Web Access,DISCOVER,TOLLS,No,No,-20.0,NTTA AUTOCHARGE TX,BILLS AND UTILITIES
2208,2023-07-30,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-6.4,HELLO INDIA,FOOD AND DINING
2209,2023-07-30,GOOGLE,Chase - via Direct Web API,CHASE FREEDOM,ELECTRONICS & SOFTWARE,No,No,-10.0,GOOGLE,SHOPPING/GROCERIES
2210,2023-07-29,TELADOC HEALTH I DIRECT DEP PPD ID,Chase - via Direct Web API,CHASE CHECKING,INCOME,No,No,3743.31,TELADOC HEALTH I DIRECT DEP PPD ID,INCOME
2211,2023-07-29,PALMS ASSOCIATES RENTAL WEB ID,Chase - via Direct Web API,CHASE CHECKING,RENT,No,No,-348.49,PALMS ASSOCIATES RENTAL WEB ID,BILLS AND UTILITIES
2212,2023-07-29,RACETRAC2371 00023713,Chase - via Direct Web API,CHASE FREEDOM,GAS & FUEL,No,No,-39.57,RACETRAC2371 00023713,BILLS AND UTILITIES
2213,2023-07-29,CINEMARK THEATRES LEWISVILLE TX,Discover Credit Card - via Direct Web Access,DISCOVER,ENTERTAINMENT,No,No,-6.12,CINEMARK THEATRES LEWISVILLE TX,ENTERTAINMENT
2214,2023-07-29,APLPAY HELLO INDIA PLANO TX,American Express - Amex Account - via Direct Web Access,AMEX,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2215,2023-07-28,CHICKFILA,Chase - via Direct Web API,CHASE FREEDOM,FAST FOOD & CONVENIENCE,No,No,-13.25,CHICKFILA,FOOD AND DINING
2216,2023-07-28,DIRECTPAY FULL BALANCE,Discover Credit Card - via Direct Web Access,DISCOVER,INCOME,No,No,333.0,DIRECTPAY FULL BALANCE,INCOME
2217,2023-07-28,APLPAY TARGET FRISCO TX,American Express - Amex Account - via Direct Web Access,AMEX,SHOPPING,No,No,-22.8,TARGET,SHOPPING/GROCERIES
2218,2023-07-28,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
2219,2023-07-28,ROBINHOOD DEBITS WEB ID,Chase - via Direct Web API,CHASE CHECKING,INVESTMENT SAVINGS,No,No,-300.0,ROBINHOOD DEBITS WEB ID,MISCELLANEOUS
2220,2023-07-28,AUTOMATIC PAYMENT THANK,Chase - via Direct Web API,CHASE FREEDOM,CREDIT CARD PAYMENT,No,No,3847.12,AUTOMATIC PAYMENT THANK,MISCELLANEOUS
2221,2023-07-27,DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN,Robinhood,ROBINHOOD,INVESTMENT TRANSFERS,No,No,300.0,DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN,MISCELLANEOUS
2222,2023-07-27,HELLO INDIA PLANO TX,Discover Credit Card - via Direct Web Access,DISCOVER,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2223,2023-07-27,AUTOPAY PAYMENT THANK YOU,American Express - Amex Account - via Direct Web Access,AMEX,CREDIT CARD PAYMENT,No,No,349.23,AUTOPAY PAYMENT THANK YOU,MISCELLANEOUS
2224,2023-07-27,AMERICAN EXPRESS PMT WEB ID,Chase - via Direct Web API,CHASE CHECKING,CREDIT CARD PAYMENT,No,No,-349.23,AMERICAN EXPRESS PMT WEB ID,MISCELLANEOUS
2225,2023-07-26,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-2.61,HELLO INDIA,FOOD AND DINING
2226,2023-07-25,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2227,2023-07-24,TXU BILL PAYMENT,Chase - via Direct Web API,CHASE FREEDOM,"ENERGY, GAS & ELECTRIC",No,No,-119.66,TXU BILL PAYMENT,BILLS AND UTILITIES
2228,2023-07-23,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2229,2023-07-23,TARGET FRISCO TX,American Express - Amex Account - via Direct Web Access,AMEX,SHOPPING,No,No,-46.87,TARGET,SHOPPING/GROCERIES
2230,2023-07-23,APLPAY STARBUCKS WA,American Express - Amex Account - via Direct Web Access,AMEX,COFFEE,No,No,-10.0,STARBUCKS,FOOD AND DINING
2231,2023-07-22,PATEL BROTHERS,Chase - via Direct Web API,CHASE FREEDOM,GROCERIES,No,No,-20.87,PATEL BROTHERS,SHOPPING/GROCERIES
2232,2023-07-22,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2233,2023-07-22,HELLO INDIA,Chase - via Direct Web API,CHASE FREEDOM,RESTAURANTS/DINING,No,No,-1.0,HELLO INDIA,FOOD AND DINING
2234,2023-07-22,APLPAY INDIAN VEFRISCO TX,American Express - Amex Account - via Direct Web Access,AMEX,RESTAURANTS/DINING,No,No,-22.7,APLPAY INDIAN VEFRISCO TX,FOOD AND DINING
