"Date","Description","Institution","Account","Category","Is Hidden","Is Pending","Amount"
"1/18/2024","PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Gas & Fuel","No","No","($8.41)"
"1/18/2024","INTEREST PAYMENT","Chase - via Direct Web API","CHASE SAVINGS","Interest Income","No","No","$0.03"
"1/17/2024","TARGET","Chase - via Direct Web API","CHASE FREEDOM","Shopping","No","No","($37.05)"
"1/17/2024","TARGET FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($2.98)"
"1/17/2024","CNK CINEMARK.COM TX","Discover Credit Card - via Direct Web Access","DISCOVER","Entertainment","No","No","($17.1)"
"1/16/2024","SWADESHI PLAZA CASTLE","Discover Credit Card - via Direct Web Access","DISCOVER","Restaurants/Dining","No","No","($2.17)"
"1/16/2024","CINEMARK THEATRES PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Entertainment","No","No","($17.71)"
"1/16/2024","PANERA BREAD K FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.8)"
"1/16/2024","SWADESHI PLAZA CASTLE","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($33.95)"
"1/16/2024","TMOBILE PCS SVC WEB ID","Chase - via Direct Web API","CHASE CHECKING","Phone, Internet & Cable","No","No","($304.36)"
"1/14/2024","INDIA BAZAAR WEST PLAN","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($20.15)"
"1/14/2024","STARBUCKS STORE PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Coffee","No","No","($2.87)"
"1/13/2024","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE SAVINGS","Savings","No","No","$400"
"1/13/2024","AUTOSAVE SAVINGS","Chase - via Direct Web API","CHASE CHECKING","Savings","No","No","($400)"
"1/13/2024","SCHWAB BROKERAGE MONEYLINK WEB ID","Chase - via Direct Web API","CHASE CHECKING","Transfers","No","No","($350)"
"1/13/2024","SWADESHI PLAZA CASTLE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($7.77)"
"1/12/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($66.64)"
"1/12/2024","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.87)"
"1/12/2024","TARGET FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($26.83)"
"1/12/2024","THE HALAL GUYS PLANOFRISCO TX","American Express - Amex Account - via Direct Web Access","AMEX","Restaurants/Dining","No","No","($34.48)"
"1/12/2024","TELADOC HEALTH I DIRECT DEP PPD ID","Chase - via Direct Web API","CHASE CHECKING","Income","No","No","$3648.84"
"1/12/2024","ROBINHOOD DEBITS WEB ID","Chase - via Direct Web API","CHASE CHECKING","Investment Savings","No","No","($300)"
"1/12/2024","FOREIGN FEE","Chase - via Direct Web API","CHASE FREEDOM","Bank Fee","No","No","($0.07)"
"1/11/2024","DEPOSIT OF INTO ROBINHOOD BROKERAGE ACCOUNT ENDING IN","Robinhood","ROBINHOOD","Investment Transfers","No","No","$300"
"1/11/2024","GOOGLE YOUTUBEPREMIUM","Chase - via Direct Web API","CHASE FREEDOM","Entertainment","No","No","($2.61)"
"1/11/2024","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.87)"
"1/11/2024","SQ KARYA SIDDHI HANUM","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($5)"
"1/10/2024","CHICKFILA","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($2.37)"
"1/10/2024","CHICKFILA","Chase - via Direct Web API","CHASE FREEDOM","Fast Food & Convenience","No","No","($24.84)"
"1/10/2024","STARBUCKS STORE","Chase - via Direct Web API","CHASE FREEDOM","Coffee","No","No","($2.87)"
"1/9/2024","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($3.24)"
"1/9/2024","HELLO INDIA","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($2)"
"1/9/2024","TARGET FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($3.45)"
"1/9/2024","WALMART STORE PLANO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Shopping","No","No","($19.25)"
"1/8/2024","PROMOTION BONUS","Wells Fargo Online Banking","WELLS FARGO CHECKING","Income","No","No","$300"
"1/8/2024","ESPN PLUS","Chase - via Direct Web API","CHASE FREEDOM","Subscriptions","No","No","($11.87)"
"1/7/2024","THE HOME DEPOT","Chase - via Direct Web API","CHASE FREEDOM","Home Improvement/Maintenance","No","No","$14.62"
"1/7/2024","SQ CHENNAI CAFE","Chase - via Direct Web API","CHASE FREEDOM","Restaurants/Dining","No","No","($49.77)"
"1/7/2024","PANERA BREAD K FRISCO TX","Discover Credit Card - via Direct Web Access","DISCOVER","Fast Food & Convenience","No","No","($2.8)"
"1/7/2024","TRADEMARK CAR WASH PLANO TX","American Express - Amex Account - via Direct Web Access","AMEX","Auto Service","No","No","($20)"
"1/7/2024","THE HOME DEPOT TX","American Express - Amex Account - via Direct Web Access","AMEX","Home Improvement/Maintenance","No","No","($4.31)"
"1/6/2024","CRUNCH FIT CLUB FEES PPD ID","Chase - via Direct Web API","CHASE CHECKING","Gym","No","No","($34.71)"
"1/6/2024","PATEL BROTHERS","Chase - via Direct Web API","CHASE FREEDOM","Groceries","No","No","($48.08)"
"1/6/2024","THE HOME DEPOT","Chase - via Direct Web API","CHASE FREEDOM","Home Improvement/Maintenance","No","No","($20.86)"
"1/6/2024","NTTA AUTOCHARGE TX","Discover Credit Card - via Direct Web Access","DISCOVER","Tolls","No","No","($10)"
